UId,created,Id_user_data,psicological_feature,biological_feature,personal_feature
,,1,2.0,3.25,2.1666666666666665
,,2,2.4,1.75,2.0
,,3,3.4,2.5,1.6666666666666667
,,4,3.0,3.0,1.8333333333333333
,,5,3.2,2.75,2.0
,,6,2.8,3.25,2.6666666666666665
,,7,2.4,2.75,3.1666666666666665
,,8,3.0,3.5,2.1666666666666665
,,9,2.0,3.25,3.3333333333333335
,,10,1.8,2.25,1.6666666666666667
,,11,1.8,2.25,1.5
,,12,2.8,2.75,2.1666666666666665
,,13,2.0,2.5,3.3333333333333335
,,14,3.0,2.5,2.5
,,15,2.0,1.75,2.1666666666666665
,,16,3.0,3.5,2.3333333333333335
,,17,2.4,2.75,2.6666666666666665
,,18,3.0,3.75,2.8333333333333335
,,19,2.4,2.5,4.333333333333333
,,20,2.0,2.75,1.5
,,21,2.4,2.25,3.5
,,22,3.2,2.25,1.8333333333333333
,,23,2.0,1.75,3.1666666666666665
,,24,2.8,2.5,3.5
,,25,3.2,3.5,4.5
,,26,2.2,2.25,2.3333333333333335
,,27,2.8,3.5,3.3333333333333335
,,28,3.8,3.75,3.1666666666666665
,,29,2.8,3.75,2.1666666666666665
,,30,3.0,2.25,2.8333333333333335
,,31,2.8,2.5,2.1666666666666665
,,32,2.8,2.5,3.5
,,33,1.8,2.25,1.3333333333333333
,,34,3.2,3.75,2.1666666666666665
,,35,3.2,3.25,2.6666666666666665
,,36,3.4,2.75,1.6666666666666667
,,37,3.6,3.75,3.6666666666666665
,,38,2.4,3.0,2.1666666666666665
,,39,3.2,2.75,2.3333333333333335
,,40,3.2,2.75,2.1666666666666665
,,41,3.2,2.5,2.1666666666666665
,,42,2.4,1.5,2.6666666666666665
,,43,2.8,3.0,2.3333333333333335
,,44,3.2,2.75,2.6666666666666665
,,45,3.0,2.75,2.5
,,46,2.0,2.25,1.8333333333333333
,,47,4.4,4.25,4.0
,,48,1.6,1.0,2.3333333333333335
,,49,2.4,2.0,2.6666666666666665
,,50,2.8,2.5,2.8333333333333335
,,51,3.2,2.75,1.8333333333333333
,,52,2.4,1.75,3.0
,,53,3.2,2.25,2.6666666666666665
,,54,1.8,2.5,3.0
,,55,2.6,3.5,3.1666666666666665
,,56,2.6,2.75,2.5
,,57,3.2,3.5,2.3333333333333335
,,58,2.8,3.75,3.5
,,59,3.2,2.0,3.1666666666666665
,,60,3.0,3.0,3.3333333333333335
,,61,2.4,1.5,2.5
,,62,3.0,2.5,3.0
,,63,3.2,1.75,2.0
,,64,2.6,3.5,1.5
,,65,2.8,2.0,3.1666666666666665
,,66,2.6,1.75,2.0
,,67,2.8,2.0,2.0
,,68,3.0,3.75,3.3333333333333335
,,69,4.0,2.75,2.6666666666666665
,,70,3.2,3.5,2.5
,,71,3.4,2.5,2.3333333333333335
,,72,1.8,1.75,4.5
,,73,2.6,3.25,2.5
,,74,3.4,4.0,3.1666666666666665
,,75,2.4,1.75,2.1666666666666665
,,76,3.2,3.5,3.0
,,77,3.6,4.0,2.8333333333333335
,,78,2.0,2.75,2.3333333333333335
,,79,4.2,3.5,1.8333333333333333
,,80,1.4,2.75,2.3333333333333335
,,81,3.4,2.75,3.1666666666666665
,,82,2.8,2.0,2.0
,,83,2.2,2.0,2.5
,,84,3.2,2.5,3.1666666666666665
,,85,2.4,1.75,3.1666666666666665
,,86,2.8,2.0,2.6666666666666665
,,87,2.8,2.25,2.8333333333333335
,,88,3.6,3.0,2.1666666666666665
,,89,3.0,2.75,1.8333333333333333
,,90,3.6,3.75,2.3333333333333335
,,91,3.0,3.75,1.6666666666666667
,,92,2.6,3.75,1.8333333333333333
,,93,2.6,2.75,2.8333333333333335
,,94,2.6,2.0,1.6666666666666667
,,95,1.8,2.5,2.1666666666666665
,,96,2.6,3.0,3.1666666666666665
,,97,2.0,3.5,3.0
,,98,3.0,2.5,2.6666666666666665
,,99,3.0,2.75,2.3333333333333335
,,100,3.2,2.5,3.8333333333333335
,,101,1.6,3.0,2.1666666666666665
,,102,2.8,2.25,3.0
,,103,2.6,3.25,2.1666666666666665
,,104,1.8,1.75,2.6666666666666665
,,105,3.2,2.0,2.3333333333333335
,,106,2.2,3.25,2.5
,,107,3.4,3.5,2.0
,,108,1.4,2.25,2.1666666666666665
,,109,1.8,2.25,2.5
,,110,2.6,2.75,1.6666666666666667
,,111,2.0,2.75,3.3333333333333335
,,112,2.2,3.25,3.5
,,113,2.4,3.0,2.3333333333333335
,,114,3.0,2.5,2.1666666666666665
,,115,3.6,3.25,2.5
,,116,1.8,3.0,2.6666666666666665
,,117,4.8,4.25,3.1666666666666665
,,118,1.2,1.75,1.8333333333333333
,,119,3.8,3.5,3.3333333333333335
,,120,2.4,2.0,2.3333333333333335
,,121,3.6,2.75,2.6666666666666665
,,122,2.6,3.25,1.8333333333333333
,,123,4.6,4.5,2.5
,,124,1.8,3.25,2.5
,,125,3.6,3.75,1.8333333333333333
,,126,1.8,2.25,2.5
,,127,2.8,3.0,3.1666666666666665
,,128,1.6,1.75,3.3333333333333335
,,129,2.2,2.0,2.1666666666666665
,,130,2.8,2.75,2.1666666666666665
,,131,2.0,3.25,2.0
,,132,2.6,2.5,1.6666666666666667
,,133,3.0,3.5,2.3333333333333335
