iter	Passed	Remaining
0	12	12229
1	22	11272
2	30	10042
3	38	9611
4	46	9164
5	54	9091
6	62	8905
7	73	9077
8	80	8820
9	87	8641
10	94	8477
11	101	8355
12	107	8195
13	115	8162
14	122	8050
15	130	8007
16	137	7967
17	146	7995
18	153	7934
19	163	8006
20	171	7980
21	178	7930
22	189	8041
23	196	7998
24	210	8217
25	221	8291
26	231	8340
27	239	8305
28	246	8248
29	255	8257
30	263	8241
31	271	8215
32	279	8179
33	290	8251
34	300	8283
35	307	8234
36	317	8261
37	324	8223
38	332	8185
39	339	8150
40	347	8120
41	354	8080
42	361	8053
43	369	8018
44	377	8000
45	384	7975
46	391	7936
47	398	7912
48	406	7891
49	415	7899
50	424	7895
51	433	7897
52	443	7931
53	451	7908
54	458	7881
55	466	7871
56	474	7847
57	481	7823
58	490	7815
59	497	7792
60	505	7778
61	513	7768
62	521	7752
63	528	7736
64	536	7718
65	545	7718
66	553	7705
67	561	7690
68	573	7742
69	586	7789
70	594	7777
71	602	7761
72	612	7782
73	621	7775
74	628	7756
75	637	7748
76	645	7733
77	652	7714
78	660	7702
79	673	7747
80	685	7779
81	698	7821
82	711	7856
83	723	7887
84	734	7909
85	745	7921
86	753	7902
87	765	7932
88	774	7923
89	783	7921
90	792	7915
91	803	7929
92	812	7927
93	820	7907
94	828	7891
95	835	7869
96	843	7853
97	851	7833
98	859	7818
99	866	7797
100	875	7791
101	885	7799
102	893	7782
103	901	7768
104	908	7747
105	916	7729
106	924	7712
107	932	7699
108	941	7699
109	950	7693
110	959	7684
111	969	7690
112	980	7694
113	989	7690
114	1000	7701
115	1011	7705
116	1020	7698
117	1027	7681
118	1035	7663
119	1042	7646
120	1054	7660
121	1065	7666
122	1072	7650
123	1080	7632
124	1088	7616
125	1094	7594
126	1102	7576
127	1108	7552
128	1118	7552
129	1125	7530
130	1132	7511
131	1138	7487
132	1145	7464
133	1152	7448
134	1159	7429
135	1166	7409
136	1176	7408
137	1183	7392
138	1192	7384
139	1198	7360
140	1203	7334
141	1211	7321
142	1221	7322
143	1228	7303
144	1235	7284
145	1241	7261
146	1247	7238
147	1253	7214
148	1258	7190
149	1266	7175
150	1272	7155
151	1279	7136
152	1287	7129
153	1295	7118
154	1305	7117
155	1312	7100
156	1318	7080
157	1324	7059
158	1331	7042
159	1338	7028
160	1348	7027
161	1358	7027
162	1366	7018
163	1374	7006
164	1384	7005
165	1391	6991
166	1398	6975
167	1404	6956
168	1410	6934
169	1417	6920
170	1427	6919
171	1434	6904
172	1440	6884
173	1446	6865
174	1452	6849
175	1458	6829
176	1465	6813
177	1471	6797
178	1478	6783
179	1484	6763
180	1492	6754
181	1499	6739
182	1505	6720
183	1511	6704
184	1519	6692
185	1525	6677
186	1533	6666
187	1540	6653
188	1546	6636
189	1553	6624
190	1561	6613
191	1569	6605
192	1577	6597
193	1585	6586
194	1594	6581
195	1602	6573
196	1610	6564
197	1617	6551
198	1625	6540
199	1632	6531
200	1641	6524
201	1649	6515
202	1657	6506
203	1664	6494
204	1672	6484
205	1679	6471
206	1687	6463
207	1696	6460
208	1707	6464
209	1718	6464
210	1729	6466
211	1736	6453
212	1743	6443
213	1752	6437
214	1760	6426
215	1769	6423
216	1776	6410
217	1783	6398
218	1789	6381
219	1796	6371
220	1804	6360
221	1814	6357
222	1822	6351
223	1833	6352
224	1841	6342
225	1848	6329
226	1854	6316
227	1861	6304
228	1868	6290
229	1876	6280
230	1882	6266
231	1889	6256
232	1897	6246
233	1905	6237
234	1915	6234
235	1922	6222
236	1929	6210
237	1936	6201
238	1943	6189
239	1950	6175
240	1957	6164
241	1965	6155
242	1972	6144
243	1979	6133
244	1987	6124
245	1995	6115
246	2005	6115
247	2015	6111
248	2023	6102
249	2033	6100
250	2044	6099
251	2053	6096
252	2061	6085
253	2068	6073
254	2074	6062
255	2081	6050
256	2092	6048
257	2099	6038
258	2109	6034
259	2116	6024
260	2123	6011
261	2130	6000
262	2138	5991
263	2147	5988
264	2154	5976
265	2161	5964
266	2172	5964
267	2179	5953
268	2186	5940
269	2193	5929
270	2200	5918
271	2209	5914
272	2220	5913
273	2230	5909
274	2239	5904
275	2249	5901
276	2266	5916
277	2278	5918
278	2286	5909
279	2297	5908
280	2305	5899
281	2313	5890
282	2324	5889
283	2334	5886
284	2342	5876
285	2349	5865
286	2355	5852
287	2363	5842
288	2373	5838
289	2384	5838
290	2395	5837
291	2402	5824
292	2410	5816
293	2417	5804
294	2424	5793
295	2432	5785
296	2441	5779
297	2448	5767
298	2455	5756
299	2463	5748
300	2470	5737
301	2478	5727
302	2485	5717
303	2492	5707
304	2500	5698
305	2507	5686
306	2514	5676
307	2523	5670
308	2530	5659
309	2537	5648
310	2544	5637
311	2552	5629
312	2560	5619
313	2568	5612
314	2576	5602
315	2584	5593
316	2592	5586
317	2602	5581
318	2611	5574
319	2621	5569
320	2628	5559
321	2637	5553
322	2644	5542
323	2653	5535
324	2665	5535
325	2673	5528
326	2686	5528
327	2695	5522
328	2703	5514
329	2712	5506
330	2720	5498
331	2728	5488
332	2736	5481
333	2743	5470
334	2750	5460
335	2757	5450
336	2765	5440
337	2773	5431
338	2780	5422
339	2788	5412
340	2796	5404
341	2803	5394
342	2812	5387
343	2819	5376
344	2829	5371
345	2836	5360
346	2844	5353
347	2854	5347
348	2863	5341
349	2876	5342
350	2884	5332
351	2892	5324
352	2900	5316
353	2908	5308
354	2918	5301
355	2926	5294
356	2935	5287
357	2945	5281
358	2953	5273
359	2964	5269
360	2972	5261
361	2982	5255
362	2989	5246
363	2998	5238
364	3005	5228
365	3016	5226
366	3029	5224
367	3039	5219
368	3046	5210
369	3054	5200
370	3061	5189
371	3067	5179
372	3079	5176
373	3089	5171
374	3097	5162
375	3106	5155
376	3115	5147
377	3122	5137
378	3129	5128
379	3136	5117
380	3144	5108
381	3151	5098
382	3158	5087
383	3168	5083
384	3178	5077
385	3184	5066
386	3193	5058
387	3204	5054
388	3215	5050
389	3225	5044
390	3234	5037
391	3242	5028
392	3251	5022
393	3258	5011
394	3267	5003
395	3275	4996
396	3282	4985
397	3290	4977
398	3298	4969
399	3307	4961
400	3315	4953
401	3325	4946
402	3334	4939
403	3343	4931
404	3351	4924
405	3358	4913
406	3366	4905
407	3375	4897
408	3384	4890
409	3392	4881
410	3399	4872
411	3412	4870
412	3424	4867
413	3436	4864
414	3447	4859
415	3457	4854
416	3465	4844
417	3472	4835
418	3480	4826
419	3487	4816
420	3494	4805
421	3502	4797
422	3514	4794
423	3521	4784
424	3528	4773
425	3535	4764
426	3542	4754
427	3549	4744
428	3557	4734
429	3564	4725
430	3572	4716
431	3580	4707
432	3591	4703
433	3604	4701
434	3613	4693
435	3621	4684
436	3629	4675
437	3637	4666
438	3649	4663
439	3662	4660
440	3670	4652
441	3678	4643
442	3689	4639
443	3699	4632
444	3708	4625
445	3722	4623
446	3736	4622
447	3748	4618
448	3760	4614
449	3771	4609
450	3782	4604
451	3789	4593
452	3797	4585
453	3804	4575
454	3814	4568
455	3825	4563
456	3836	4558
457	3845	4550
458	3852	4540
459	3860	4531
460	3868	4523
461	3876	4513
462	3883	4504
463	3893	4498
464	3901	4488
465	3908	4479
466	3917	4470
467	3928	4465
468	3935	4455
469	3946	4450
470	3957	4445
471	3968	4439
472	3980	4434
473	3990	4428
474	3998	4418
475	4007	4411
476	4015	4402
477	4025	4396
478	4034	4387
479	4042	4379
480	4050	4370
481	4058	4361
482	4066	4353
483	4075	4344
484	4084	4337
485	4092	4328
486	4100	4319
487	4110	4312
488	4119	4304
489	4126	4295
490	4136	4288
491	4143	4278
492	4152	4270
493	4159	4260
494	4167	4251
495	4174	4242
496	4183	4234
497	4191	4224
498	4199	4216
499	4209	4209
500	4217	4200
501	4226	4192
502	4235	4184
503	4247	4180
504	4259	4175
505	4271	4170
506	4279	4161
507	4289	4154
508	4298	4146
509	4309	4140
510	4317	4131
511	4328	4125
512	4336	4117
513	4345	4108
514	4354	4100
515	4362	4091
516	4369	4082
517	4378	4073
518	4386	4064
519	4394	4056
520	4405	4050
521	4414	4042
522	4422	4033
523	4431	4025
524	4438	4015
525	4447	4007
526	4455	3998
527	4464	3990
528	4471	3981
529	4483	3976
530	4492	3968
531	4500	3958
532	4508	3950
533	4517	3942
534	4525	3933
535	4533	3924
536	4540	3914
537	4548	3905
538	4555	3896
539	4562	3886
540	4570	3877
541	4578	3868
542	4587	3860
543	4594	3851
544	4600	3840
545	4611	3834
546	4621	3827
547	4630	3819
548	4639	3811
549	4647	3802
550	4656	3794
551	4667	3788
552	4679	3782
553	4688	3774
554	4698	3767
555	4707	3758
556	4714	3749
557	4722	3740
558	4730	3732
559	4738	3723
560	4750	3717
561	4758	3708
562	4767	3700
563	4777	3693
564	4790	3688
565	4798	3679
566	4807	3671
567	4817	3663
568	4825	3655
569	4837	3649
570	4849	3643
571	4857	3634
572	4865	3625
573	4873	3616
574	4881	3608
575	4890	3599
576	4898	3590
577	4906	3582
578	4918	3576
579	4926	3567
580	4935	3559
581	4944	3551
582	4953	3543
583	4962	3535
584	4970	3526
585	4980	3518
586	4990	3510
587	4999	3502
588	5011	3497
589	5020	3489
590	5030	3481
591	5039	3472
592	5046	3463
593	5055	3455
594	5065	3447
595	5079	3443
596	5092	3437
597	5104	3431
598	5115	3424
599	5134	3423
600	5147	3417
601	5159	3411
602	5169	3403
603	5176	3393
604	5183	3384
605	5190	3374
606	5198	3365
607	5205	3356
608	5213	3347
609	5220	3337
610	5231	3330
611	5240	3322
612	5248	3313
613	5256	3304
614	5265	3296
615	5273	3287
616	5282	3278
617	5293	3271
618	5303	3264
619	5311	3255
620	5320	3246
621	5331	3240
622	5342	3233
623	5354	3226
624	5364	3218
625	5371	3209
626	5379	3200
627	5386	3190
628	5395	3182
629	5403	3173
630	5411	3164
631	5421	3157
632	5429	3147
633	5440	3140
634	5448	3131
635	5456	3122
636	5465	3114
637	5474	3106
638	5482	3097
639	5490	3088
640	5498	3079
641	5510	3072
642	5521	3065
643	5529	3056
644	5537	3047
645	5545	3038
646	5553	3029
647	5563	3022
648	5572	3013
649	5581	3005
650	5589	2996
651	5598	2988
652	5609	2980
653	5617	2972
654	5626	2963
655	5634	2954
656	5643	2946
657	5651	2937
658	5661	2929
659	5669	2920
660	5678	2912
661	5685	2902
662	5696	2895
663	5705	2887
664	5714	2878
665	5723	2870
666	5733	2862
667	5742	2854
668	5751	2845
669	5759	2836
670	5767	2827
671	5776	2819
672	5786	2811
673	5797	2803
674	5806	2795
675	5814	2786
676	5823	2778
677	5830	2769
678	5838	2760
679	5846	2751
680	5854	2742
681	5860	2732
682	5868	2723
683	5876	2714
684	5884	2705
685	5896	2698
686	5904	2690
687	5913	2681
688	5922	2673
689	5931	2664
690	5941	2656
691	5949	2648
692	5958	2639
693	5965	2630
694	5975	2622
695	5983	2613
696	5994	2605
697	6002	2596
698	6009	2587
699	6016	2578
700	6027	2570
701	6039	2563
702	6050	2556
703	6060	2548
704	6069	2539
705	6077	2530
706	6088	2523
707	6096	2514
708	6104	2505
709	6115	2498
710	6127	2490
